gamma,sampling_var,clip,actor_lr,critic_lr,updates,training_iteration,reward
0.98,0.1,0.15,0.0001,0.001,10,100,-1.961201286595907
0.98,0.1,0.15,0.0001,0.003,10,100,-1.818695929621646
0.98,0.1,0.15,0.0003,0.001,10,100,-2.204178970527188
0.98,0.1,0.15,0.0003,0.003,10,100,-2.011570471454008
0.98,0.3,0.15,0.0001,0.001,10,100,-1.9288652940756528
0.98,0.3,0.15,0.0001,0.003,10,100,-2.2575973207493614
0.98,0.3,0.15,0.0003,0.001,10,100,-2.220716213397754
0.98,0.3,0.15,0.0003,0.003,10,100,-2.253296462484749
0.98,0.5,0.15,0.0001,0.001,10,100,-2.2253388067927355
0.98,0.5,0.15,0.0001,0.003,10,100,-1.7750346971113562
0.98,0.5,0.15,0.0003,0.001,10,100,-2.127153169367722
0.98,0.5,0.15,0.0003,0.003,10,100,-1.8827081005623705
