training_iteration,reward
10,-2.562325690259084
20,-2.406807270365199
30,-2.4627430600182474
40,-2.212396720638689
50,-2.233172360149444
60,-2.0297249735230904
70,-1.9820455693158636
80,-1.9043401714043964
90,-1.8379338466633386
100,-1.961201286595907
10,-2.6763756862706125
20,-2.754870810872369
30,-2.5307679147352706
40,-2.7320323554283674
50,-2.698234622900081
60,-2.5360329243357658
70,-2.552292654669997
80,-2.1178376579124754
90,-2.2209472991862094
100,-1.818695929621646
10,-2.7710874827448952
20,-2.4136059076897913
30,-2.047241688289588
40,-2.1867005137650155
50,-2.0513802870040516
60,-2.10856782343844
70,-2.186141204573805
80,-2.0675700764303406
90,-2.2556869172927607
100,-2.204178970527188
10,-2.666497858586482
20,-2.5787919174360994
30,-2.095311604056857
40,-2.051872860226011
50,-2.0490956532964844
60,-1.8588091017808068
70,-1.9946275002969789
80,-1.7958477365809447
90,-1.8107797637320755
100,-2.011570471454008
10,-2.723853704266413
20,-2.5286846050956564
30,-2.300280917956372
40,-2.090647458286865
50,-2.0480811205676277
60,-1.9369528486257774
70,-1.8750131192221968
80,-1.919169138948788
90,-1.89086896245009
100,-1.9288652940756528
10,-2.868593932699792
20,-2.810359275313498
30,-2.9217909992741804
40,-2.6442408544534013
50,-2.5352537682179115
60,-2.32613514948921
70,-2.458478786259346
80,-2.2766082730890744
90,-2.02792998109745
100,-2.2575973207493614
10,-2.7809895787596823
20,-2.1333740207463685
30,-2.1801935260933507
40,-2.139083576343439
50,-2.218106494092576
60,-2.179543528089582
70,-2.0716942453464275
80,-2.1707934267524625
90,-2.2718737407129073
100,-2.220716213397754
10,-2.228121309685087
20,-2.238425634078931
30,-2.2480537717703934
40,-2.356077128559073
50,-2.094777549228441
60,-1.9952779207934348
70,-2.2460051405487604
80,-2.084587062243086
90,-2.478312435827886
100,-2.253296462484749
10,-2.90428362068614
20,-2.9938894033633705
30,-2.781964607076298
40,-2.7604024671544787
50,-2.342708268613857
60,-2.485421300783037
70,-2.4518821162184663
80,-2.2859954316848112
90,-2.237235396291669
100,-2.2253388067927355
10,-2.303593620665018
20,-2.3010851320183026
30,-2.1002700698285106
40,-2.0268359608307813
50,-1.8282797362904617
60,-1.9856939343349111
70,-1.965751529442601
80,-1.934642538810401
90,-1.9178362787608054
100,-1.7750346971113562
10,-2.429897840234352
20,-2.009768883172509
30,-2.278034766474213
40,-2.156661996431716
50,-2.441658565346795
60,-2.2274885545926013
70,-2.28053835189756
80,-2.200358306326708
90,-2.0419519132649095
100,-2.127153169367722
10,-2.1480308983306395
20,-1.88109736461024
30,-1.7164653986516167
40,-1.9757508399085975
50,-2.01285187059842
60,-1.849130452396532
70,-1.9000000485356323
80,-1.759504093107082
90,-1.7693070363811934
100,-1.8827081005623705
